portName;portCode;cityName;domestic;countryName;countryCode;depPortCode
Sivas;VAS;Sivas;True;Türkiye;TR;DTM
Şanlıurfa;GNY;Şanlıurfa;True;Türkiye;TR;DTM
Trabzon;TZX;Trabzon;True;Türkiye;TR;DTM
Van;VAN;Van;True;Türkiye;TR;DTM
Maskat;MCT;Maskat;False;Umman;OM;DTM
Amman;AMM;Amman Kraliçe Aliye;False;Ürdün;JO;DTM
Atina;ATH;Atina;False;Yunanistan;GR;DTM
Antalya;AYT;Antalya;True;Türkiye;TR;DRS
İstanbul - Sabiha Gokcen;SAW;Istanbul - Sabiha Gökçen;True;Türkiye;TR;DRS
Tiran;TIA;Tiran - Rinas;False;Arnavutluk;AL;DUS
Bakü;GYD;Bakü - Haydar Aliyev;False;Azerbaycan;AZ;DUS
Gence;GNJ;Ganja;False;Azerbaycan;AZ;DUS
Bahreyn;BAH;Bahreyn;False;Bahreyn Krallığı;BH;DUS
Abudhabi;AUH;Abu Dabi;False;Birleşik Arap Emirlikleri;AE;DUS
Dubai;DXB;Dubai;False;Birleşik Arap Emirlikleri;AE;DUS
Şarjah;SHJ;ŞARİKA - Sharjah;False;Birleşik Arap Emirlikleri;AE;DUS
Saraybosna;SJJ;Saraybosna;False;Bosna-Hersek;BA;DUS
Sofya;SOF;Sofya;False;Bulgaristan;BG;DUS
Erivan;EVN;Zvartnots Uluslararası;False;Ermenistan;AM;DUS
Kazablanka;CMN;Kazablanka Muhammed V;False;Fas;MA;DUS
Batum;BUS;Batum;False;Gürcistan;GE;DUS
Kutaisi;KUT;Kutaisi;False;Gürcistan;GE;DUS
Tiflis;TBS;Tiflis;False;Gürcistan;GE;DUS
Bağdat;BGW;Bağdat;False;Irak;IQ;DUS
Basra;BSR;Basra;False;Irak;IQ;DUS
Erbil;EBL;Erbil;False;Irak;IQ;DUS
Meşhed;MHD;Mashad;False;İran;IR;DUS
Tabriz;TBZ;Tebriz;False;İran;IR;DUS
Tahran - IKA;IKA;Tahran;False;İran;IR;DUS
Podgoritsa/TGD;TGD;Podgorica;False;Karadağ;ME;DUS
Doha - DOH;DOH;Doha;False;Katar;QA;DUS
Aktau;SCO;Aktau;False;Kazakistan;KZ;DUS
Almati;ALA;Almati;False;Kazakistan;KZ;DUS
Astana;NQZ;Nur Sultan Nazarbayev;False;Kazakistan;KZ;DUS
Çimkent;CIT;Şimkent;False;Kazakistan;KZ;DUS
Bişkek;FRU;Bişkek;False;Kırgızistan;KG;DUS
Oş;OSS;Oş;False;Kırgızistan;KG;DUS
Priştine;PRN;Priştine;False;Kosova;XK;DUS
Kuveyt;KWI;Kuveyt;False;Kuveyt;KW;DUS
Lefkoşa - Kuzey Kıbrıs;ECN;Ercan;False;Kuzey Kıbrıs Türk Cumhuriyeti;CP;DUS
Üsküp;SKP;Üsküp;False;Kuzey Makedonya;MK;DUS
Beyrut;BEY;Beyrut;False;Lübnan;LB;DUS
Hurgada;HRG;Hurghada;False;Mısır;EG;DUS
İskenderiye;HBE;İskenderiye;False;Mısır;EG;DUS
Kahire-CAI-Nile Air;CAI;Kahire;False;Mısır;EG;DUS
Kahire-SPX;SPX;Kahire;False;Mısır;EG;DUS
Şarm El-Şeyh;SSH;Şarm El Şeyh;False;Mısır;EG;DUS
Kişinev;RMO;Kishinev;False;Moldova;MD;DUS
Karachi;KHI;Karaçi Jinnah;False;Pakistan;PK;DUS
Bükreş-Otopeni;OTP;Bükreş - Henri Coanda;False;Romanya;RO;DUS
Kazan;KZN;Kazan;False;Rusya;RU;DUS
Moskova-Vnukovo;VKO;Moskova;False;Rusya;RU;DUS
St.Petersburg;LED;St.Petersburg Pulkovo;False;Rusya;RU;DUS
Belgrad;BEG;Belgrad;False;Sırbistan;RS;DUS
Cidde;JED;JEDDAH;False;Suudi Arabistan;SA;DUS
Dammam;DMM;Dammam King Fahd;False;Suudi Arabistan;SA;DUS
Medine;MED;Prince Mohammad Bin Abdulaziz - Medine;False;Suudi Arabistan;SA;DUS
Riyad;RUH;Riyad - Kral Halid;False;Suudi Arabistan;SA;DUS
Adana;ADA;Adana;True;Türkiye;TR;DUS
Alanya-Gazipaşa;GZP;Gazipaşa;True;Türkiye;TR;DUS
Amasya - Merzifon;MZH;Amasya Merzifon;True;Türkiye;TR;DUS
Ankara;ESB;Ankara Esenboğa;True;Türkiye;TR;DUS
Antalya;AYT;Antalya;True;Türkiye;TR;DUS
Balıkesir-Edremit;EDO;Balıkesir - Edremit;True;Türkiye;TR;DUS
Batman;BAL;Batman;True;Türkiye;TR;DUS
Bingöl;BGG;Bingöl;True;Türkiye;TR;DUS
Dalaman;DLM;Dalaman;True;Türkiye;TR;DUS
Denizli;DNZ;Denizli;True;Türkiye;TR;DUS
Diyarbakır;DIY;Diyarbakır;True;Türkiye;TR;DUS
Elazığ;EZS;Elazığ;True;Türkiye;TR;DUS
Erzincan;ERC;Erzincan;True;Türkiye;TR;DUS
Erzurum;ERZ;Erzurum;True;Türkiye;TR;DUS
Gaziantep;GZT;Gaziantep;True;Türkiye;TR;DUS
Iğdır;IGD;Iğdır Şehit Bülent Aydın;True;Türkiye;TR;DUS
İstanbul - Sabiha Gokcen;SAW;Istanbul - Sabiha Gökçen;True;Türkiye;TR;DUS
İzmir;ADB;İzmir Adnan Menderes;True;Türkiye;TR;DUS
Kars;KSY;Kars;True;Türkiye;TR;DUS
Kayseri;ASR;Kayseri;True;Türkiye;TR;DUS
Konya;KYA;Konya;True;Türkiye;TR;DUS
Malatya;MLX;Malatya;True;Türkiye;TR;DUS
Mardin;MQM;Mardin;True;Türkiye;TR;DUS
Muğla - Milas Bodrum;BJV;Milas - Bodrum;True;Türkiye;TR;DUS
Muş;MSR;Muş;True;Türkiye;TR;DUS
Ordu-Giresun;OGU;Ordu;True;Türkiye;TR;DUS
Rize - Artvin;RZV;Rize Artvin;True;Türkiye;TR;DUS
Samsun;SZF;Samsun;True;Türkiye;TR;DUS
Sivas;VAS;Sivas;True;Türkiye;TR;DUS
Şanlıurfa;GNY;Şanlıurfa;True;Türkiye;TR;DUS
Trabzon;TZX;Trabzon;True;Türkiye;TR;DUS
Van;VAN;Van;True;Türkiye;TR;DUS
Maskat;MCT;Maskat;False;Umman;OM;DUS
Amman;AMM;Amman Kraliçe Aliye;False;Ürdün;JO;DUS
Atina;ATH;Atina;False;Yunanistan;GR;DUS
Tiran;TIA;Tiran - Rinas;False;Arnavutluk;AL;FRA
Bakü;GYD;Bakü - Haydar Aliyev;False;Azerbaycan;AZ;FRA
Bahreyn;BAH;Bahreyn;False;Bahreyn Krallığı;BH;FRA
Abudhabi;AUH;Abu Dabi;False;Birleşik Arap Emirlikleri;AE;FRA
Dubai;DXB;Dubai;False;Birleşik Arap Emirlikleri;AE;FRA
Şarjah;SHJ;ŞARİKA - Sharjah;False;Birleşik Arap Emirlikleri;AE;FRA
Saraybosna;SJJ;Saraybosna;False;Bosna-Hersek;BA;FRA
Sofya;SOF;Sofya;False;Bulgaristan;BG;FRA
Erivan;EVN;Zvartnots Uluslararası;False;Ermenistan;AM;FRA
Kazablanka;CMN;Kazablanka Muhammed V;False;Fas;MA;FRA
Kutaisi;KUT;Kutaisi;False;Gürcistan;GE;FRA
Tiflis;TBS;Tiflis;False;Gürcistan;GE;FRA
Bağdat;BGW;Bağdat;False;Irak;IQ;FRA
Basra;BSR;Basra;False;Irak;IQ;FRA
Erbil;EBL;Erbil;False;Irak;IQ;FRA
Meşhed;MHD;Mashad;False;İran;IR;FRA
Tabriz;TBZ;Tebriz;False;İran;IR;FRA
Tahran - IKA;IKA;Tahran;False;İran;IR;FRA
